,sentence,gold
125,नक्तम् सेवेत न द्रुमम् तथा चत्वरचैत्यअन्तःचतुःपथसुरआलयान् सूनाअटवीशून्यगृहश्मशानानि दिवा अपि न (सेवेत) .,"{'tokens': ['नक्तम्', 'सेवेत', 'न', 'द्रुमम्', 'तथा', 'चत्वरचैत्यअन्तःचतुःपथसुरआलयान्', 'सूनाअटवीशून्यगृहश्मशानानि', 'दिवा', 'अपि', 'न', '(सेवेत)', '.'], 'compounds': [{'span': ['1', '23'], 'label': 'No_rel'}, {'span': ['2', '23'], 'label': 'No_rel'}, {'span': ['3', '23'], 'label': 'No_rel'}, {'span': ['4', '23'], 'label': 'No_rel'}, {'span': ['5', '23'], 'label': 'No_rel'}, {'span': ['6', '7'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['7', '8'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['8', '9'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['9', '10'], 'label': 'समाहार-द्विगुः'}, {'span': ['10', '11'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['11', '12'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['12', '23'], 'label': 'Comp_root'}, {'span': ['13', '14'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['14', '15'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['15', '16'], 'label': 'कर्मधारयः'}, {'span': ['16', '17'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['17', '23'], 'label': 'Comp_root'}, {'span': ['18', '23'], 'label': 'No_rel'}, {'span': ['19', '23'], 'label': 'No_rel'}, {'span': ['20', '23'], 'label': 'No_rel'}, {'span': ['21', '23'], 'label': 'No_rel'}, {'span': ['22', '23'], 'label': 'No_rel'}, {'span': ['23', '0'], 'label': 'root'}]}"
126,सर्वथा ईक्षेत न आदित्यम् न भारम् शिरसा वहेत् न ईक्षेत प्रततम् सूक्ष्मम् दीप्तअमेध्यअप्रियाणि च .,"{'tokens': ['सर्वथा', 'ईक्षेत', 'न', 'आदित्यम्', 'न', 'भारम्', 'शिरसा', 'वहेत्', 'न', 'ईक्षेत', 'प्रततम्', 'सूक्ष्मम्', 'दीप्तअमेध्यअप्रियाणि', 'च', '.'], 'compounds': [{'span': ['1', '19'], 'label': 'No_rel'}, {'span': ['2', '19'], 'label': 'No_rel'}, {'span': ['3', '19'], 'label': 'No_rel'}, {'span': ['4', '19'], 'label': 'No_rel'}, {'span': ['5', '19'], 'label': 'No_rel'}, {'span': ['6', '19'], 'label': 'No_rel'}, {'span': ['7', '19'], 'label': 'No_rel'}, {'span': ['8', '19'], 'label': 'No_rel'}, {'span': ['9', '19'], 'label': 'No_rel'}, {'span': ['10', '19'], 'label': 'No_rel'}, {'span': ['11', '19'], 'label': 'No_rel'}, {'span': ['12', '19'], 'label': 'No_rel'}, {'span': ['13', '14'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['14', '15'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['15', '16'], 'label': 'नञ्-तत्पुरुषः'}, {'span': ['16', '19'], 'label': 'Comp_root'}, {'span': ['17', '19'], 'label': 'No_rel'}, {'span': ['18', '19'], 'label': 'No_rel'}, {'span': ['19', '0'], 'label': 'root'}]}"
127,मद्यविक्रयसन्धानदानआदानानि न आचरेत् .,"{'tokens': ['मद्यविक्रयसन्धानदानआदानानि', 'न', 'आचरेत्', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['2', '3'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['3', '4'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['4', '5'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['5', '9'], 'label': 'Comp_root'}, {'span': ['6', '9'], 'label': 'No_rel'}, {'span': ['7', '9'], 'label': 'No_rel'}, {'span': ['8', '9'], 'label': 'No_rel'}, {'span': ['9', '0'], 'label': 'root'}]}"
128,पुरोवातआतपरजस्तुषारपरुषअनिलान् त्यजेत् .,"{'tokens': ['पुरोवातआतपरजस्तुषारपरुषअनिलान्', 'त्यजेत्', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'कर्मधारयः'}, {'span': ['2', '3'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['3', '4'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['4', '5'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['5', '6'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['6', '7'], 'label': 'कर्मधारयः'}, {'span': ['7', '10'], 'label': 'Comp_root'}, {'span': ['8', '10'], 'label': 'No_rel'}, {'span': ['9', '10'], 'label': 'No_rel'}, {'span': ['10', '0'], 'label': 'root'}]}"
129,अनृजुः क्षवथुउद्गारकासस्वप्नअन्नमैथुनम् (त्यजेत्) .,"{'tokens': ['अनृजुः', 'क्षवथुउद्गारकासस्वप्नअन्नमैथुनम्', '(त्यजेत्)', '.'], 'compounds': [{'span': ['1', '10'], 'label': 'No_rel'}, {'span': ['2', '3'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['3', '4'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['4', '5'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['5', '6'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['6', '7'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['7', '10'], 'label': 'Comp_root'}, {'span': ['8', '10'], 'label': 'No_rel'}, {'span': ['9', '10'], 'label': 'No_rel'}, {'span': ['10', '0'], 'label': 'root'}]}"
130,कूलछायाम् नृपद्विष्टम् व्यालदंष्ट्रिविषाणिनः हीनअन् आर्यअतिनिपुणसेवाम् (च) (त्यजेत्) विग्रहम् उत्तमैः (त्यजेत्) सन्ध्यासु अभ्यवहारस्त्रीस्वप्नअध्ययनचिन्तनम् (त्यजेत्) .,"{'tokens': ['कूलछायाम्', 'नृपद्विष्टम्', 'व्यालदंष्ट्रिविषाणिनः', 'हीनअन्', 'आर्यअतिनिपुणसेवाम्', '(च)', '(त्यजेत्)', 'विग्रहम्', 'उत्तमैः', '(त्यजेत्)', 'सन्ध्यासु', 'अभ्यवहारस्त्रीस्वप्नअध्ययनचिन्तनम्', '(त्यजेत्)', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['2', '27'], 'label': 'Comp_root'}, {'span': ['3', '4'], 'label': 'तृतीया-तत्पुरुषः'}, {'span': ['4', '27'], 'label': 'Comp_root'}, {'span': ['5', '6'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['6', '7'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['7', '27'], 'label': 'Comp_root'}, {'span': ['8', '9'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['9', '10'], 'label': 'नञ्-तत्पुरुषः'}, {'span': ['10', '11'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['11', '12'], 'label': 'प्रादि-तत्पुरुषः'}, {'span': ['12', '13'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['13', '27'], 'label': 'Comp_root'}, {'span': ['14', '27'], 'label': 'No_rel'}, {'span': ['15', '27'], 'label': 'No_rel'}, {'span': ['16', '27'], 'label': 'No_rel'}, {'span': ['17', '27'], 'label': 'No_rel'}, {'span': ['18', '27'], 'label': 'No_rel'}, {'span': ['19', '27'], 'label': 'No_rel'}, {'span': ['20', '21'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['21', '22'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['22', '23'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['23', '24'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['24', '27'], 'label': 'Comp_root'}, {'span': ['25', '27'], 'label': 'No_rel'}, {'span': ['26', '27'], 'label': 'No_rel'}, {'span': ['27', '0'], 'label': 'root'}]}"
131,शत्रुसत्रगणआकीर्णगणिकापणिकअशनम् (त्यजेत्) .,"{'tokens': ['शत्रुसत्रगणआकीर्णगणिकापणिकअशनम्', '(त्यजेत्)', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['2', '3'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['3', '4'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['4', '5'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['5', '6'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['6', '7'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['7', '10'], 'label': 'Comp_root'}, {'span': ['8', '10'], 'label': 'No_rel'}, {'span': ['9', '10'], 'label': 'No_rel'}, {'span': ['10', '0'], 'label': 'root'}]}"
132,गात्रवक्त्रनखैः वाद्यम् (त्यजेत्) हस्तकेशअवधूननम् (त्यजेत्) .,"{'tokens': ['गात्रवक्त्रनखैः', 'वाद्यम्', '(त्यजेत्)', 'हस्तकेशअवधूननम्', '(त्यजेत्)', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['2', '3'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['3', '11'], 'label': 'Comp_root'}, {'span': ['4', '11'], 'label': 'No_rel'}, {'span': ['5', '11'], 'label': 'No_rel'}, {'span': ['6', '7'], 'label': 'समाहार-द्वन्द्वः'}, {'span': ['7', '8'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['8', '11'], 'label': 'Comp_root'}, {'span': ['9', '11'], 'label': 'No_rel'}, {'span': ['10', '11'], 'label': 'No_rel'}, {'span': ['11', '0'], 'label': 'root'}]}"
133,तोयअग्निपूज्यमध्येन यानम् (त्यजेत्) धूमम् शवआश्रयम् मद्यअतिसक्तिम् (च) (त्यजेत्) विश्रम्भस्वातन्त्र्ये स्त्रीषु च त्यजेत् .,"{'tokens': ['तोयअग्निपूज्यमध्येन', 'यानम्', '(त्यजेत्)', 'धूमम्', 'शवआश्रयम्', 'मद्यअतिसक्तिम्', '(च)', '(त्यजेत्)', 'विश्रम्भस्वातन्त्र्ये', 'स्त्रीषु', 'च', 'त्यजेत्', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['2', '3'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['3', '4'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['4', '21'], 'label': 'Comp_root'}, {'span': ['5', '21'], 'label': 'No_rel'}, {'span': ['6', '21'], 'label': 'No_rel'}, {'span': ['7', '21'], 'label': 'No_rel'}, {'span': ['8', '9'], 'label': 'षष्ठ्यर्थ-बहुव्रीहिः'}, {'span': ['9', '21'], 'label': 'Comp_root'}, {'span': ['10', '11'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['11', '12'], 'label': 'प्रादि-तत्पुरुषः'}, {'span': ['12', '21'], 'label': 'Comp_root'}, {'span': ['13', '21'], 'label': 'No_rel'}, {'span': ['14', '21'], 'label': 'No_rel'}, {'span': ['15', '16'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['16', '21'], 'label': 'Comp_root'}, {'span': ['17', '21'], 'label': 'No_rel'}, {'span': ['18', '21'], 'label': 'No_rel'}, {'span': ['19', '21'], 'label': 'No_rel'}, {'span': ['20', '21'], 'label': 'No_rel'}, {'span': ['21', '0'], 'label': 'root'}]}"
134,आचार्यः सर्वचेष्टासु लोकः एव हि धीमतः (भवति) अनुकुर्यात् तम् एव अतः लौकिके अर्थे परीक्षकः .,"{'tokens': ['आचार्यः', 'सर्वचेष्टासु', 'लोकः', 'एव', 'हि', 'धीमतः', '(भवति)', 'अनुकुर्यात्', 'तम्', 'एव', 'अतः', 'लौकिके', 'अर्थे', 'परीक्षकः', '.'], 'compounds': [{'span': ['1', '17'], 'label': 'No_rel'}, {'span': ['2', '3'], 'label': 'कर्मधारयः'}, {'span': ['3', '17'], 'label': 'Comp_root'}, {'span': ['4', '17'], 'label': 'No_rel'}, {'span': ['5', '17'], 'label': 'No_rel'}, {'span': ['6', '17'], 'label': 'No_rel'}, {'span': ['7', '17'], 'label': 'No_rel'}, {'span': ['8', '17'], 'label': 'No_rel'}, {'span': ['9', '17'], 'label': 'No_rel'}, {'span': ['10', '17'], 'label': 'No_rel'}, {'span': ['11', '17'], 'label': 'No_rel'}, {'span': ['12', '17'], 'label': 'No_rel'}, {'span': ['13', '17'], 'label': 'No_rel'}, {'span': ['14', '17'], 'label': 'No_rel'}, {'span': ['15', '17'], 'label': 'No_rel'}, {'span': ['16', '17'], 'label': 'No_rel'}, {'span': ['17', '0'], 'label': 'root'}]}"
135,आर्द्रसन्तानता त्यागः कायवाक्चेतसाम् दमः स्वअर्थबुद्धिः परअर्थेषु पर्याप्तम् इति सद्व्रतम् (भवति) .,"{'tokens': ['आर्द्रसन्तानता', 'त्यागः', 'कायवाक्चेतसाम्', 'दमः', 'स्वअर्थबुद्धिः', 'परअर्थेषु', 'पर्याप्तम्', 'इति', 'सद्व्रतम्', '(भवति)', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'षष्ठ्यर्थ-बहुव्रीहिः'}, {'span': ['2', '19'], 'label': 'Comp_root'}, {'span': ['3', '19'], 'label': 'No_rel'}, {'span': ['4', '5'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['5', '6'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['6', '19'], 'label': 'Comp_root'}, {'span': ['7', '19'], 'label': 'No_rel'}, {'span': ['8', '9'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['9', '10'], 'label': 'चतुर्थी-तत्पुरुषः'}, {'span': ['10', '19'], 'label': 'Comp_root'}, {'span': ['11', '12'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['12', '19'], 'label': 'Comp_root'}, {'span': ['13', '19'], 'label': 'No_rel'}, {'span': ['14', '19'], 'label': 'No_rel'}, {'span': ['15', '16'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['16', '19'], 'label': 'Comp_root'}, {'span': ['17', '19'], 'label': 'No_rel'}, {'span': ['18', '19'], 'label': 'No_rel'}, {'span': ['19', '0'], 'label': 'root'}]}"
136,नक्तंदिनानि मे यान्ति कथम्भूतस्य सम्प्रति दुःखभाक् न भवति एवम् नित्यम् सन्निहितस्मृतिः (सन्) .,"{'tokens': ['नक्तंदिनानि', 'मे', 'यान्ति', 'कथम्भूतस्य', 'सम्प्रति', 'दुःखभाक्', 'न', 'भवति', 'एवम्', 'नित्यम्', 'सन्निहितस्मृतिः', '(सन्)', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['2', '17'], 'label': 'Comp_root'}, {'span': ['3', '17'], 'label': 'No_rel'}, {'span': ['4', '17'], 'label': 'No_rel'}, {'span': ['5', '6'], 'label': 'केवलसमासः'}, {'span': ['6', '17'], 'label': 'Comp_root'}, {'span': ['7', '17'], 'label': 'No_rel'}, {'span': ['8', '17'], 'label': 'No_rel'}, {'span': ['9', '17'], 'label': 'No_rel'}, {'span': ['10', '17'], 'label': 'No_rel'}, {'span': ['11', '17'], 'label': 'No_rel'}, {'span': ['12', '17'], 'label': 'No_rel'}, {'span': ['13', '14'], 'label': 'षष्ठ्यर्थ-बहुव्रीहिः'}, {'span': ['14', '17'], 'label': 'Comp_root'}, {'span': ['15', '17'], 'label': 'No_rel'}, {'span': ['16', '17'], 'label': 'No_rel'}, {'span': ['17', '0'], 'label': 'root'}]}"
137,इति आचारः समासेन (भवति) यम् प्राप्नोति समाचरन् आयुः आरोग्यम् ऐश्वर्यम् यशः लोकान् च शाश्वतान् .,"{'tokens': ['इति', 'आचारः', 'समासेन', '(भवति)', 'यम्', 'प्राप्नोति', 'समाचरन्', 'आयुः', 'आरोग्यम्', 'ऐश्वर्यम्', 'यशः', 'लोकान्', 'च', 'शाश्वतान्', '.'], 'compounds': [{'span': ['1', '16'], 'label': 'No_rel'}, {'span': ['2', '16'], 'label': 'No_rel'}, {'span': ['3', '16'], 'label': 'No_rel'}, {'span': ['4', '16'], 'label': 'No_rel'}, {'span': ['5', '16'], 'label': 'No_rel'}, {'span': ['6', '16'], 'label': 'No_rel'}, {'span': ['7', '16'], 'label': 'No_rel'}, {'span': ['8', '16'], 'label': 'No_rel'}, {'span': ['9', '16'], 'label': 'No_rel'}, {'span': ['10', '16'], 'label': 'No_rel'}, {'span': ['11', '16'], 'label': 'No_rel'}, {'span': ['12', '16'], 'label': 'No_rel'}, {'span': ['13', '16'], 'label': 'No_rel'}, {'span': ['14', '16'], 'label': 'No_rel'}, {'span': ['15', '16'], 'label': 'No_rel'}, {'span': ['16', '0'], 'label': 'root'}]}"
138,अथ अतः ऋतुचर्यअध्यायम् व्याख्यास्यामः इति ह स्म आहुः आत्रेयआदयः महर्षयः,"{'tokens': ['अथ', 'अतः', 'ऋतुचर्यअध्यायम्', 'व्याख्यास्यामः', 'इति', 'ह', 'स्म', 'आहुः', 'आत्रेयआदयः', 'महर्षयः'], 'compounds': [{'span': ['1', '13'], 'label': 'No_rel'}, {'span': ['2', '13'], 'label': 'No_rel'}, {'span': ['3', '4'], 'label': 'कर्मधारयः'}, {'span': ['4', '13'], 'label': 'Comp_root'}, {'span': ['5', '13'], 'label': 'No_rel'}, {'span': ['6', '13'], 'label': 'No_rel'}, {'span': ['7', '13'], 'label': 'No_rel'}, {'span': ['8', '13'], 'label': 'No_rel'}, {'span': ['9', '13'], 'label': 'No_rel'}, {'span': ['10', '13'], 'label': 'No_rel'}, {'span': ['11', '13'], 'label': 'No_rel'}, {'span': ['12', '13'], 'label': 'No_rel'}, {'span': ['13', '0'], 'label': 'root'}]}"
139,मासैः द्विसंख्यैः मासआद्यैः क्रमात् षड् ऋतवः स्मृताः शिशिरः अथ वसन्तः च ग्रीष्मः वर्षाशरद्हिमाः शिशिरआद्याः त्रिभिः तैः तु विद्यादयनम् उत्तरम् आदानं च तद् आदत्ते नृणाम् प्रतिदिनम् बलम्,"{'tokens': ['मासैः', 'द्विसंख्यैः', 'मासआद्यैः', 'क्रमात्', 'षड्', 'ऋतवः', 'स्मृताः', 'शिशिरः', 'अथ', 'वसन्तः', 'च', 'ग्रीष्मः', 'वर्षाशरद्हिमाः', 'शिशिरआद्याः', 'त्रिभिः', 'तैः', 'तु', 'विद्यादयनम्', 'उत्तरम्', 'आदानं', 'च', 'तद्', 'आदत्ते', 'नृणाम्', 'प्रतिदिनम्', 'बलम्'], 'compounds': [{'span': ['1', '33'], 'label': 'No_rel'}, {'span': ['2', '33'], 'label': 'No_rel'}, {'span': ['3', '33'], 'label': 'No_rel'}, {'span': ['4', '33'], 'label': 'No_rel'}, {'span': ['5', '33'], 'label': 'No_rel'}, {'span': ['6', '33'], 'label': 'No_rel'}, {'span': ['7', '33'], 'label': 'No_rel'}, {'span': ['8', '33'], 'label': 'No_rel'}, {'span': ['9', '33'], 'label': 'No_rel'}, {'span': ['10', '33'], 'label': 'No_rel'}, {'span': ['11', '33'], 'label': 'No_rel'}, {'span': ['12', '33'], 'label': 'No_rel'}, {'span': ['13', '33'], 'label': 'No_rel'}, {'span': ['14', '33'], 'label': 'No_rel'}, {'span': ['15', '33'], 'label': 'No_rel'}, {'span': ['16', '33'], 'label': 'No_rel'}, {'span': ['17', '33'], 'label': 'No_rel'}, {'span': ['18', '19'], 'label': 'बहुव्रीहिः'}, {'span': ['19', '33'], 'label': 'Comp_root'}, {'span': ['20', '33'], 'label': 'No_rel'}, {'span': ['21', '33'], 'label': 'No_rel'}, {'span': ['22', '33'], 'label': 'No_rel'}, {'span': ['23', '33'], 'label': 'No_rel'}, {'span': ['24', '33'], 'label': 'No_rel'}, {'span': ['25', '33'], 'label': 'No_rel'}, {'span': ['26', '33'], 'label': 'No_rel'}, {'span': ['27', '33'], 'label': 'No_rel'}, {'span': ['28', '33'], 'label': 'No_rel'}, {'span': ['29', '33'], 'label': 'No_rel'}, {'span': ['30', '33'], 'label': 'No_rel'}, {'span': ['31', '33'], 'label': 'No_rel'}, {'span': ['32', '33'], 'label': 'No_rel'}, {'span': ['33', '0'], 'label': 'root'}]}"
140,तस्मिन् हि अतितीक्ष्णऊष्णरूक्षाः मार्गस्वभावतः (भवन्ति) आदित्यपवनाः सौम्यान् क्षपयन्ति गुणान् भुवः तिक्तः कषायः कटुकः बलिनः अत्र रसाः क्रमात् तस्मात् आदानम् आग्नेयम् (भवन्ति) (भवति),"{'tokens': ['तस्मिन्', 'हि', 'अतितीक्ष्णऊष्णरूक्षाः', 'मार्गस्वभावतः', '(भवन्ति)', 'आदित्यपवनाः', 'सौम्यान्', 'क्षपयन्ति', 'गुणान्', 'भुवः', 'तिक्तः', 'कषायः', 'कटुकः', 'बलिनः', 'अत्र', 'रसाः', 'क्रमात्', 'तस्मात्', 'आदानम्', 'आग्नेयम्', '(भवन्ति)', '(भवति)'], 'compounds': [{'span': ['1', '28'], 'label': 'No_rel'}, {'span': ['2', '28'], 'label': 'No_rel'}, {'span': ['3', '4'], 'label': 'अव्ययीभावः'}, {'span': ['4', '5'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['5', '6'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['6', '28'], 'label': 'Comp_root'}, {'span': ['7', '8'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['8', '9'], 'label': 'Comp_root'}, {'span': ['9', '28'], 'label': 'अभिहित_कर्ता'}, {'span': ['10', '11'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['11', '28'], 'label': 'Comp_root'}, {'span': ['12', '28'], 'label': 'No_rel'}, {'span': ['13', '28'], 'label': 'No_rel'}, {'span': ['14', '28'], 'label': 'No_rel'}, {'span': ['15', '28'], 'label': 'No_rel'}, {'span': ['16', '28'], 'label': 'No_rel'}, {'span': ['17', '28'], 'label': 'No_rel'}, {'span': ['18', '28'], 'label': 'No_rel'}, {'span': ['19', '28'], 'label': 'No_rel'}, {'span': ['20', '28'], 'label': 'No_rel'}, {'span': ['21', '28'], 'label': 'No_rel'}, {'span': ['22', '28'], 'label': 'No_rel'}, {'span': ['23', '28'], 'label': 'No_rel'}, {'span': ['24', '28'], 'label': 'No_rel'}, {'span': ['25', '28'], 'label': 'No_rel'}, {'span': ['26', '28'], 'label': 'No_rel'}, {'span': ['27', '28'], 'label': 'No_rel'}, {'span': ['28', '0'], 'label': 'root'}]}"
141,ऋतवः दक्षिणायनम् वर्षाआदयः विसर्गः च (सन्ति),"{'tokens': ['ऋतवः', 'दक्षिणायनम्', 'वर्षाआदयः', 'विसर्गः', 'च', '(सन्ति)'], 'compounds': [{'span': ['1', '8'], 'label': 'No_rel'}, {'span': ['2', '8'], 'label': 'No_rel'}, {'span': ['3', '8'], 'label': 'No_rel'}, {'span': ['4', '8'], 'label': 'No_rel'}, {'span': ['5', '8'], 'label': 'No_rel'}, {'span': ['6', '8'], 'label': 'No_rel'}, {'span': ['7', '8'], 'label': 'No_rel'}, {'span': ['8', '0'], 'label': 'root'}]}"
142,यद् बलम् विसृजति अयम्,"{'tokens': ['यद्', 'बलम्', 'विसृजति', 'अयम्'], 'compounds': [{'span': ['1', '5'], 'label': 'No_rel'}, {'span': ['2', '5'], 'label': 'No_rel'}, {'span': ['3', '5'], 'label': 'No_rel'}, {'span': ['4', '5'], 'label': 'No_rel'}, {'span': ['5', '0'], 'label': 'root'}]}"
143,सौम्यत्वात् अत्र सोमः हि बलवान् हीयते रविः (भवति),"{'tokens': ['सौम्यत्वात्', 'अत्र', 'सोमः', 'हि', 'बलवान्', 'हीयते', 'रविः', '(भवति)'], 'compounds': [{'span': ['1', '9'], 'label': 'No_rel'}, {'span': ['2', '9'], 'label': 'No_rel'}, {'span': ['3', '9'], 'label': 'No_rel'}, {'span': ['4', '9'], 'label': 'No_rel'}, {'span': ['5', '9'], 'label': 'No_rel'}, {'span': ['6', '9'], 'label': 'No_rel'}, {'span': ['7', '9'], 'label': 'No_rel'}, {'span': ['8', '9'], 'label': 'No_rel'}, {'span': ['9', '0'], 'label': 'root'}]}"
144,मेघवृष्ठिअनिलैः शीतैः शान्ततापे महीतले (भवन्ति),"{'tokens': ['मेघवृष्ठिअनिलैः', 'शीतैः', 'शान्ततापे', 'महीतले', '(भवन्ति)'], 'compounds': [{'span': ['1', '2'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['2', '3'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['3', '10'], 'label': 'Comp_root'}, {'span': ['4', '10'], 'label': 'No_rel'}, {'span': ['5', '6'], 'label': 'कर्मधारयः'}, {'span': ['6', '10'], 'label': 'Comp_root'}, {'span': ['7', '8'], 'label': 'षष्टी-तत्पुरुषः'}, {'span': ['8', '10'], 'label': 'Comp_root'}, {'span': ['9', '10'], 'label': 'No_rel'}, {'span': ['10', '0'], 'label': 'root'}]}"
145,अम्ललवणमधुराः बलिनः रसाः (भवन्ति) स्निग्धाः च इह,"{'tokens': ['अम्ललवणमधुराः', 'बलिनः', 'रसाः', '(भवन्ति)', 'स्निग्धाः', 'च', 'इह'], 'compounds': [{'span': ['1', '2'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['2', '3'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['3', '10'], 'label': 'Comp_root'}, {'span': ['4', '10'], 'label': 'No_rel'}, {'span': ['5', '10'], 'label': 'No_rel'}, {'span': ['6', '10'], 'label': 'No_rel'}, {'span': ['7', '10'], 'label': 'No_rel'}, {'span': ['8', '10'], 'label': 'No_rel'}, {'span': ['9', '10'], 'label': 'No_rel'}, {'span': ['10', '0'], 'label': 'root'}]}"
146,शीते अग्र्यम् वृष्टिघर्मे अल्पम् बलम् मध्यम् तु शेषयोः भवति,"{'tokens': ['शीते', 'अग्र्यम्', 'वृष्टिघर्मे', 'अल्पम्', 'बलम्', 'मध्यम्', 'तु', 'शेषयोः', 'भवति'], 'compounds': [{'span': ['1', '11'], 'label': 'No_rel'}, {'span': ['2', '11'], 'label': 'No_rel'}, {'span': ['3', '4'], 'label': 'समाहार-द्वन्द्वः'}, {'span': ['4', '11'], 'label': 'Comp_root'}, {'span': ['5', '11'], 'label': 'No_rel'}, {'span': ['6', '11'], 'label': 'No_rel'}, {'span': ['7', '11'], 'label': 'No_rel'}, {'span': ['8', '11'], 'label': 'No_rel'}, {'span': ['9', '11'], 'label': 'No_rel'}, {'span': ['10', '11'], 'label': 'No_rel'}, {'span': ['11', '0'], 'label': 'root'}]}"
147,बलिनः शीलसंरोधात् हेमन्ते प्रबलः अनलः (भवति),"{'tokens': ['बलिनः', 'शीलसंरोधात्', 'हेमन्ते', 'प्रबलः', 'अनलः', '(भवति)'], 'compounds': [{'span': ['1', '8'], 'label': 'No_rel'}, {'span': ['2', '3'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['3', '8'], 'label': 'Comp_root'}, {'span': ['4', '8'], 'label': 'No_rel'}, {'span': ['5', '8'], 'label': 'No_rel'}, {'span': ['6', '8'], 'label': 'No_rel'}, {'span': ['7', '8'], 'label': 'No_rel'}, {'span': ['8', '0'], 'label': 'root'}]}"
