sentence,gold
अनुरक्तः शुचिः दक्षः बुद्धिमान् (च) परिचारकः (भवेत्) .,"{""tokens"": [""अनुरक्तः"", ""शुचिः"", ""दक्षः"", ""बुद्धिमान्"", ""(च)"", ""परिचारकः"", ""(भवेत्)"", "".""], ""compounds"": ""1\tअनुरक्तः\tअनुरक्तः\t9\tCompNo\t_\tNo_rel\n2\tशुचिः\tशुचिः\t9\tCompNo\t_\tNo_rel\n3\tदक्षः\tदक्षः\t9\tCompNo\t_\tNo_rel\n4\tबुद्धिमान्\tबुद्धिमान्\t9\tCompNo\t_\tNo_rel\n5\t(च)\t(च)\t9\tCompNo\t_\tNo_rel\n6\tपरिचारकः\tपरिचारकः\t9\tCompNo\t_\tNo_rel\n7\t(भवेत्)\t(भवेत्)\t9\tCompNo\t_\tNo_rel\n8\t.\t.\t9\tCompNo\t_\tNo_rel\n9\tDUMMY\t_\t0\tCompNo\t_\troot""}"
आढ्यः रोगी भिषक्वश्यः ज्ञापकः सत्त्ववान् अपि (भवेत्) .,"{""tokens"": [""आढ्यः"", ""रोगी"", ""भिषक्"", ""वश्यः"", ""ज्ञापकः"", ""सत्त्ववान्"", ""अपि"", ""(भवेत्)"", "".""], ""compounds"": ""1\tआढ्यः\tआढ्यः\t10\tCompNo\t_\tNo_rel\n2\tरोगी\tरोगी\t10\tCompNo\t_\tNo_rel\n3\tभिषक्-\tभिषक्-वश्यः\t4\tComp2\t_\tषष्ठी-तत्पुरुषः\n4\tवश्यः\t--\t10\tComp2\t_\tComp_root\n5\tज्ञापकः\tज्ञापकः\t10\tCompNo\t_\tNo_rel\n6\tसत्त्ववान्\tसत्त्ववान्\t10\tCompNo\t_\tNo_rel\n7\tअपि\tअपि\t10\tCompNo\t_\tNo_rel\n8\t(भवेत्)\t(भवेत्)\t10\tCompNo\t_\tNo_rel\n9\t.\t.\t10\tCompNo\t_\tNo_rel\n10\tDUMMY\t_\t0\tCompNo\t_\troot""}"
सर्वऔषधक्षमे देहे (स्थितः) यूनः पुंसः जितआत्मनः अमर्मगः अल्पहेतुअग्ररूपरूपः अन् उपद्रवः अतुल्यदूष्यदेशऋतुप्रकृतिः पादसंपदि (सति) ग्रहेषु अनुगुणेषु (सत्सु) एकदोषमार्गः नवः (व्याधिः) सुखः (उच्यते) .,"{""tokens"": [""सर्व"", ""औषध"", ""क्षमे"", ""देहे"", ""(स्थितः)"", ""यूनः"", ""पुंसः"", ""जित"", ""आत्मनः"", ""अ"", ""मर्म"", ""गः"", ""अल्प"", ""हेतु"", ""अग्र"", ""रूप"", ""रूपः"", ""अन्"", ""उपद्रवः"", ""अ"", ""तुल्य"", ""दूष्य"", ""देश"", ""ऋतु"", ""प्रकृतिः"", ""पाद"", ""संपदि"", ""(सति)"", ""ग्रहेषु"", ""अनुगुणेषु"", ""(सत्सु)"", ""एक"", ""दोष"", ""मार्गः"", ""नवः"", ""(व्याधिः)"", ""सुखः"", ""(उच्यते)"", "".""], ""compounds"": ""1\tसर्व-\tसर्व-औषध-क्षमे\t2\tComp3\t_\tकर्मधारयः\n2\tऔषध-\t--\t3\tComp3\t_\tबहुव्रीहिः\n3\tक्षमे\t--\t40\tComp3\t_\tComp_root\n4\tदेहे\tदेहे\t40\tCompNo\t_\tNo_rel\n5\t(स्थितः)\t(स्थितः)\t40\tCompNo\t_\tNo_rel\n6\tयूनः\tयूनः\t40\tCompNo\t_\tNo_rel\n7\tपुंसः\tपुंसः\t40\tCompNo\t_\tNo_rel\n8\tजित-\tजित-आत्मनः\t9\tComp2\t_\tतृतीयार्थ-बहुव्रीहिः\n9\tआत्मनः\t--\t40\tComp2\t_\tComp_root\n10\tअ-\tअ-मर्म-गः\t11\tComp3\t_\tनञ्-तत्पुरुषः\n11\tमर्म-\t--\t12\tComp3\t_\tउपपद-तत्पुरुषः\n12\tगः\t--\t40\tComp3\t_\tComp_root\n13\tअल्प-\tअल्प-हेतु-अग्र-रूप-रूपः\t14\tComp5\t_\tषष्ठी-तत्पुरुषः\n14\tहेतु-\t--\t15\tComp5\t_\tइतरेतर-द्वन्द्वः\n15\tअग्र-\t--\t16\tComp5\t_\tइतरेतर-द्वन्द्वः\n16\tरूप-\t--\t17\tComp5\t_\tइतरेतर-द्वन्द्वः\n17\tरूपः\t--\t40\tComp5\t_\tComp_root\n18\tअन्\tअन्-उपद्रवः\t19\tComp2\t_\tषष्ठी-बहुव्रीहिः\n19\tउपद्रवः\t--\t40\tComp2\t_\tComp_root\n20\tअ-\tअ-तुल्य-दूष्य-देश-ऋतु-प्रकृतिः\t21\tComp6\t_\tनञ्-तत्पुरुषः\n21\tतुल्य-\t--\t22\tComp6\t_\tषष्ठी-तत्पुरुषः\n22\tदूष्य-\t--\t23\tComp6\t_\tइतरेतर-द्वन्द्वः\n23\tदेश-\t--\t24\tComp6\t_\tइतरेतर-द्वन्द्वः\n24\tऋतु-\t--\t25\tComp6\t_\tइतरेतर-द्वन्द्वः\n25\tप्रकृतिः\t--\t40\tComp6\t_\tComp_root\n26\tपाद-\tपाद-संपदि\t27\tComp2\t_\tषष्ठी-तत्पुरुषः\n27\tसंपदि\t--\t40\tComp2\t_\tComp_root\n28\t(सति)\t(सति)\t40\tCompNo\t_\tNo_rel\n29\tग्रहेषु\tग्रहेषु\t40\tCompNo\t_\tNo_rel\n30\tअनुगुणेषु\tअनुगुणेषु\t40\tCompNo\t_\tNo_rel\n31\t(सत्सु)\t(सत्सु)\t40\tCompNo\t_\tNo_rel\n32\tएक-\tएक-दोष-मार्गः\t33\tComp3\t_\tषष्ठी-बहुव्रीहिः\n33\tदोष-\t--\t34\tComp3\t_\tइतरेतर-द्वन्द्वः\n34\tमार्गः\t--\t40\tComp3\t_\tComp_root\n35\tनवः\tनवः\t40\tCompNo\t_\tNo_rel\n36\t(व्याधिः)\t(व्याधिः)\t40\tCompNo\t_\tNo_rel\n37\tसुखः\tसुखः\t40\tCompNo\t_\tNo_rel\n38\t(उच्यते)\t(उच्यते)\t40\tCompNo\t_\tNo_rel\n39\t.\t.\t40\tCompNo\t_\tNo_rel\n40\tDUMMY\t_\t0\tCompNo\t_\troot""}"
शस्त्रआदिसाधनः कृच्छ्रः संकरे (सति) च ततः गदः (उच्यते) .,"{""tokens"": [""शस्त्र"", ""आदि"", ""साधनः"", ""कृच्छ्रः"", ""संकरे"", ""(सति)"", ""च"", ""ततः"", ""गदः"", ""(उच्यते)"", "".""], ""compounds"": ""1\tशस्त्र-\tशस्त्र-आदि-साधनः\t2\tComp3\t_\tषष्ठ्यर्थ-बहुव्रीहिः\n2\tआदि-\t--\t3\tComp3\t_\tषष्ठी-तत्पुरुषः\n3\tसाधनः\t--\t12\tComp3\t_\tComp_root\n4\tकृच्छ्रः\tकृच्छ्रः\t12\tCompNo\t_\tNo_rel\n5\tसंकरे\tसंकरे\t12\tCompNo\t_\tNo_rel\n6\t(सति)\t(सति)\t12\tCompNo\t_\tNo_rel\n7\tच\tच\t12\tCompNo\t_\tNo_rel\n8\tततः\tततः\t12\tCompNo\t_\tNo_rel\n9\tगदः\tगदः\t12\tCompNo\t_\tNo_rel\n10\t(उच्यते)\t(उच्यते)\t12\tCompNo\t_\tNo_rel\n11\t.\t.\t12\tCompNo\t_\tNo_rel\n12\tDUMMY\t_\t0\tCompNo\t_\troot""}"
शेषत्वात् आयुषः याप्यः पथ्यअभ्यासात् विपर्यये (सति) (व्याधिः) (उच्यते) .,"{""tokens"": [""शेषत्वात्"", ""आयुषः"", ""याप्यः"", ""पथ्य"", ""अभ्यासात्"", ""विपर्यये"", ""(सति)"", ""(व्याधिः)"", ""(उच्यते)"", "".""], ""compounds"": ""1\tशेषत्वात्\tशेषत्वात्\t11\tCompNo\t_\tNo_rel\n2\tआयुषः\tआयुषः\t11\tCompNo\t_\tNo_rel\n3\tयाप्यः\tयाप्यः\t11\tCompNo\t_\tNo_rel\n4\tपथ्य-\tपथ्य-अभ्यासात्\t5\tComp2\t_\tषष्ठी-तत्पुरुषः\n5\tअभ्यासात्\t--\t11\tComp2\t_\tComp_root\n6\tविपर्यये\tविपर्यये\t11\tCompNo\t_\tNo_rel\n7\t(सति)\t(सति)\t11\tCompNo\t_\tNo_rel\n8\t(व्याधिः)\t(व्याधिः)\t11\tCompNo\t_\tNo_rel\n9\t(उच्यते)\t(उच्यते)\t11\tCompNo\t_\tNo_rel\n10\t.\t.\t11\tCompNo\t_\tNo_rel\n11\tDUMMY\t_\t0\tCompNo\t_\troot""}"
अन्उपक्रमः एव स्यात् स्थितः अत्यन्तविपर्यये औत्सुक्यमोहअरतिकृत् दृष्टरिष्टः अक्षनाशनः (गदः) .,"{""tokens"": [""अन्"", ""उपक्रमः"", ""एव"", ""स्यात्"", ""स्थितः"", ""अत्यन्त"", ""विपर्यये"", ""औत्सुक्य"", ""मोह"", ""अ"", ""रति"", ""कृत्"", ""दृष्ट"", ""रिष्टः"", ""अक्ष"", ""नाशनः"", ""(गदः)"", "".""], ""compounds"": ""1\tअन्-\tअन्-उपक्रमः\t2\tComp2\t_\tअस्त्यर्थ-मध्यमपदलोपी-(नञ्)बहुव्रीहिः\n2\tउपक्रमः\t--\t19\tComp2\t_\tComp_root\n3\tएव\tएव\t19\tCompNo\t_\tNo_rel\n4\tस्यात्\tस्यात्\t19\tCompNo\t_\tNo_rel\n5\tस्थितः\tस्थितः\t19\tCompNo\t_\tNo_rel\n6\tअत्यन्त-\tअत्यन्त-विपर्यये\t7\tComp2\t_\tसमासः\n7\tविपर्यये\t--\t19\tComp2\t_\tComp_root\n8\tऔत्सुक्य-\tऔत्सुक्य-मोह-अरति-कृत्\t9\tComp4\t_\tइतरेतर-द्वन्द्वः\n9\tमोह-\t--\t10\tComp4\t_\tइतरेतर-द्वन्द्वः\n10\tअ-\t--\t11\tComp4\t_\tनञ्-तत्पुरुषः\n11\tरति-\t--\t12\tComp4\t_\tComp_root\n12\tकृत्\t--\t19\tComp4\t_\tविशेषणम्\n13\tदृष्ट-\tदृष्ट-रिष्टः\t14\tComp2\t_\tसप्तमी-बहुव्रीहिः\n14\tरिष्टः\t--\t19\tComp2\t_\tComp_root\n15\tअक्ष-\tअक्ष-नाशनः\t16\tComp2\t_\tउपपद-तत्पुरुषः\n16\tनाशनः\t--\t19\tComp2\t_\tComp_root\n17\t(गदः)\t(गदः)\t19\tCompNo\t_\tNo_rel\n18\t.\t.\t19\tCompNo\t_\tNo_rel\n19\tDUMMY\t_\t0\tCompNo\t_\troot""}"
त्यजेत् आर्तम् भिषक्भूपैः द्विष्टम् तेषाम् द्विषम् द्विषम् हीनउपकरणम् व्यग्रम् अविधेयम् गतआयुषम् चण्डम् शोकआतुरम् भीरुम् कृतघ्नम् वैद्यमानिनम् (च),"{""tokens"": [""त्यजेत्"", ""आर्तम्"", ""भिषक्"", ""भूपैः"", ""द्विष्टम्"", ""तेषाम्"", ""द्विषम्"", ""द्विषम्"", ""हीन"", ""उपकरणम्"", ""व्यग्रम्"", ""अ"", ""विधेयम्"", ""गत"", ""आयुषम्"", ""चण्डम्"", ""शोक"", ""आतुरम्"", ""भीरुम्"", ""कृत"", ""घ्नम्"", ""वैद्य"", ""मानिनम्"", ""(च)""], ""compounds"": ""1\tत्यजेत्\tत्यजेत्\t25\tCompNo\t_\tNo_rel\n2\tआर्तम्\tआर्तम्\t25\tCompNo\t_\tNo_rel\n3\tभिषक्-\tभिषक्-भूपैः\t4\tComp2\t_\tइतरेतर-द्वन्द्वः\n4\tभूपैः\t--\t25\tComp2\t_\tComp_root\n5\tद्विष्टम्\tद्विष्टम्\t25\tCompNo\t_\tNo_rel\n6\tतेषाम्\tतेषाम्\t25\tCompNo\t_\tNo_rel\n7\tद्विषम्\tद्विषम्\t25\tCompNo\t_\tNo_rel\n8\tद्विषम्\tद्विषम्\t25\tCompNo\t_\tNo_rel\n9\tहीन-\tहीन-उपकरणम्\t10\tComp2\t_\tषष्ठी-बहुव्रीहिः\n10\tउपकरणम्\t--\t25\tComp2\t_\tComp_root\n11\tव्यग्रम्\tव्यग्रम्\t25\tCompNo\t_\tNo_rel\n12\tअ-\tअ-विधेयम्\t13\tComp2\t_\tषष्ठी-बहुव्रीहिः\n13\tविधेयम्\t--\t25\tComp2\t_\tComp_root\n14\tगत-\tगत-आयुषम्\t15\tComp2\t_\tषष्ठी-बहुव्रीहिः\n15\tआयुषम्\t--\t25\tComp2\t_\tComp_root\n16\tचण्डम्\tचण्डम्\t25\tCompNo\t_\tNo_rel\n17\tशोक-\tशोक-आतुरम्\t18\tComp2\t_\tतृतीया-तत्पुरुषः\n18\tआतुरम्\t--\t25\tComp2\t_\tComp_root\n19\tभीरुम्\tभीरुम्\t25\tCompNo\t_\tNo_rel\n20\tकृत-\tकृत-घ्नम्\t21\tComp2\t_\tउपपद-तत्पुरुषः\n21\tघ्नम्\t--\t25\tComp2\t_\tComp_root\n22\tवैद्य-\tवैद्य-मानिनम्\t23\tComp2\t_\tउपपद-तत्पुरुषः\n23\tमानिनम्\t--\t25\tComp2\t_\tComp_root\n24\t(च)\t(च)\t25\tCompNo\t_\tNo_rel\n25\tDUMMY\t_\t0\tCompNo\t_\troot""}"
तन्त्रस्य अस्य परम् च अतः वक्ष्यते अध्यायसङ्ग्रहः .,"{""tokens"": [""तन्त्रस्य"", ""अस्य"", ""परम्"", ""च"", ""अतः"", ""वक्ष्यते"", ""अध्याय"", ""सङ्ग्रहः"", "".""], ""compounds"": ""1\tतन्त्रस्य\tतन्त्रस्य\t10\tCompNo\t_\tNo_rel\n2\tअस्य\tअस्य\t10\tCompNo\t_\tNo_rel\n3\tपरम्\tपरम्\t10\tCompNo\t_\tNo_rel\n4\tच\tच\t10\tCompNo\t_\tNo_rel\n5\tअतः\tअतः\t10\tCompNo\t_\tNo_rel\n6\tवक्ष्यते\tवक्ष्यते\t10\tCompNo\t_\tNo_rel\n7\tअध्याय-\tअध्याय-सङ्ग्रहः\t8\tComp2\t_\tषष्ठी-तत्पुरुषः\n8\tसङ्ग्रहः\t--\t10\tComp2\t_\tComp_root\n9\t.\t.\t10\tCompNo\t_\tNo_rel\n10\tDUMMY\t_\t0\tCompNo\t_\troot""}"
अथ अतः दिनचर्याअध्यायम् व्याख्यास्यामः .,"{""tokens"": [""अथ"", ""अतः"", ""दिनचर्या"", ""अध्यायम्"", ""व्याख्यास्यामः"", "".""], ""compounds"": ""1\tअथ\tअथ\t7\tCompNo\t_\tNo_rel\n2\tअतः\tअतः\t7\tCompNo\t_\tNo_rel\n3\tदिनचर्या-\tदिनचर्या-अध्यायम्\t4\tComp2\t_\tषष्ठी-तत्पुरुषः\n4\tअध्यायम्\t--\t7\tComp2\t_\tComp_root\n5\tव्याख्यास्यामः\tव्याख्यास्यामः\t7\tCompNo\t_\tNo_rel\n6\t.\t.\t7\tCompNo\t_\tNo_rel\n7\tDUMMY\t_\t0\tCompNo\t_\troot""}"
इति ह स्म आहुः आत्रेयआदयः महाऋषयः .,"{""tokens"": [""इति"", ""ह"", ""स्म"", ""आहुः"", ""आत्रेय"", ""आदयः"", ""महा"", ""ऋषयः"", "".""], ""compounds"": ""1\tइति\tइति\t10\tCompNo\t_\tNo_rel\n2\tह\tह\t10\tCompNo\t_\tNo_rel\n3\tस्म\tस्म\t10\tCompNo\t_\tNo_rel\n4\tआहुः\tआहुः\t10\tCompNo\t_\tNo_rel\n5\tआत्रेय-\tआत्रेय-आदयः\t6\tComp2\t_\tबहुव्रीहिः\n6\tआदयः\t--\t10\tComp2\t_\tComp_root\n7\tमहा-\tमहा-ऋषयः\t8\tComp2\t_\tकर्मधारयः\n8\tऋषयः\t--\t10\tComp2\t_\tComp_root\n9\t.\t.\t10\tCompNo\t_\tNo_rel\n10\tDUMMY\t_\t0\tCompNo\t_\troot""}"
ब्राह्मे मुहूर्ते उत्तिष्ठेत् स्वस्थः रक्षाअर्थम् आयुषः .,"{""tokens"": [""ब्राह्मे"", ""मुहूर्ते"", ""उत्तिष्ठेत्"", ""स्वस्थः"", ""रक्षा"", ""अर्थम्"", ""आयुषः"", "".""], ""compounds"": ""1\tब्राह्मे\tब्राह्मे\t9\tCompNo\t_\tNo_rel\n2\tमुहूर्ते\tमुहूर्ते\t9\tCompNo\t_\tNo_rel\n3\tउत्तिष्ठेत्\tउत्तिष्ठेत्\t9\tCompNo\t_\tNo_rel\n4\tस्वस्थः\tस्वस्थः\t9\tCompNo\t_\tNo_rel\n5\tरक्षा-\tरक्षा-अर्थम्\t6\tComp2\t_\tचतुर्थी-तत्पुरुषः\n6\tअर्थम्\t--\t9\tComp2\t_\tComp_root\n7\tआयुषः\tआयुषः\t9\tCompNo\t_\tNo_rel\n8\t.\t.\t9\tCompNo\t_\tNo_rel\n9\tDUMMY\t_\t0\tCompNo\t_\troot""}"
शरीरचिन्ताम् निर्वर्त्य कृतशौचविधिः ततः अर्कन्यग्रोधखदिरकरञ्जककुभआदिजम् प्रातः मृदुअग्रम् कषायकटुतिक्तकम् कनीनिअग्रसमस्थौल्यम् प्रगुणम् द्वादशअङ्गुलम् भक्षयेत् दन्तपवनम् दन्तमांसानि अबाधयन् भुक्त्वा च (भक्षयेत्) .,"{""tokens"": [""शरीर"", ""चिन्ताम्"", ""निर्वर्त्य"", ""कृत"", ""शौच"", ""विधिः"", ""ततः"", ""अर्क"", ""न्यग्रोध"", ""खदिर"", ""करञ्ज"", ""ककुभ"", ""आदि"", ""जम्"", ""प्रातः"", ""मृदु"", ""अग्रम्"", ""कषाय"", ""कटु"", ""तिक्तकम्"", ""कनीनि"", ""अग्र"", ""सम"", ""स्थौल्यम्"", ""प्र"", ""गुणम्"", ""द्वादश"", ""अङ्गुलम्"", ""भक्षयेत्"", ""दन्त"", ""पवनम्"", ""दन्त"", ""मांसानि"", ""अ"", ""बाधयन्"", ""भुक्त्वा"", ""च"", ""(भक्षयेत्)"", "".""], ""compounds"": ""1\tशरीर-\tशरीर-चिन्तां\t2\tComp2\t_\tषष्ठी-तत्पुरुषः\n2\tचिन्ताम्\t--\t40\tComp2\t_\tComp_root\n3\tनिर्वर्त्य\tनिर्वर्त्य\t40\tCompNo\t_\tNo_rel\n4\tकृत-\tकृत-शौच-विधिः\t5\tComp3\t_\tतृतीयार्थ-बहुव्रीहिः\n5\tशौच-\t--\t6\tComp3\t_\tषष्ठी-तत्पुरुषः\n6\tविधिः\t--\t40\tComp3\t_\tComp_root\n7\tततः\tततः\t40\tCompNo\t_\tNo_rel\n8\tअर्क-\tअर्क-न्यग्रोध-खदिर-करञ्ज-ककुभ-आदि-जम्\t9\tComp7\t_\tइतरेतर-द्वन्द्वः\n9\tन्यग्रोध-\t--\t10\tComp7\t_\tइतरेतर-द्वन्द्वः\n10\tखदिर-\t--\t11\tComp7\t_\tइतरेतर-द्वन्द्वः\n11\tकरञ्ज-\t--\t12\tComp7\t_\tइतरेतर-द्वन्द्वः\n12\tककुभ-\t--\t13\tComp7\t_\tषष्ठ्यर्थ-बहुव्रीहिः\n13\tआदि-\t--\t14\tComp7\t_\tउपपद-तत्पुरुषः\n14\tजम्\t--\t40\tComp7\t_\tComp_root\n15\tप्रातः\tप्रातः\t40\tCompNo\t_\tNo_rel\n16\tमृदु-\tमृदु-अग्रं\t17\tComp2\t_\tषष्ठ्यर्थ-बहुव्रीहिः\n17\tअग्रम्\t--\t40\tComp2\t_\tComp_root\n18\tकषाय-\tकषाय-कटु-तिक्तकम्\t19\tComp3\t_\tसमाहार-द्वन्द्वः\n19\tकटु-\t--\t20\tComp3\t_\tसमाहार-द्वन्द्वः\n20\tतिक्तकम्\t--\t40\tComp3\t_\tComp_root\n21\tकनीनि-\tकनीनि-अग्र-सम-स्थौल्यं\t22\tComp4\t_\tषष्ठी-तत्पुरुषः\n22\tअग्र-\t--\t23\tComp4\t_\tतृतीया-तत्पुरुषः\n23\tसम-\t--\t24\tComp4\t_\tषष्ठ्यर्थ-बहुव्रीहिः\n24\tस्थौल्यम्\t--\t40\tComp4\t_\tComp_root\n25\tप्र-\tप्र-गुणं\t26\tComp2\t_\tप्रादि-तत्पुरुषः\n26\tगुणम्\t--\t40\tComp2\t_\tComp_root\n27\tद्वादश-\tद्वादश-अङ्गुलम्\t28\tComp2\t_\tषष्ठ्यर्थ-बहुव्रीहिः\n28\tअङ्गुलम्\t--\t40\tComp2\t_\tComp_root\n29\tभक्षयेत्\tभक्षयेत्\t40\tCompNo\t_\tNo_rel\n30\tदन्त-\tदन्त-पवनं\t31\tComp2\t_\tउपपद-तत्पुरुषः\n31\tपवनम्\t--\t40\tComp2\t_\tComp_root\n32\tदन्त-\tदन्त-मांसानि\t33\tComp2\t_\tषष्ठी-तत्पुरुषः\n33\tमांसानि\t--\t40\tComp2\t_\tComp_root\n34\tअ-\tअ-बाधयन्\t35\tComp2\t_\tनञ्-तत्पुरुषः\n35\tबाधयन्\t--\t40\tComp2\t_\tComp_root\n36\tभुक्त्वा\tभुक्त्वा\t40\tCompNo\t_\tNo_rel\n37\tच\tच\t40\tCompNo\t_\tNo_rel\n38\t(भक्षयेत्)\tभक्षयेत्\t40\tCompNo\t_\tNo_rel\n39\t.\t.\t40\tCompNo\t_\tNo_rel\n40\tDUMMY\t_\t0\tCompNo\t_\troot""}"
न अद्यात् अजीर्णवमथुश्वासकासज्वरअर्दिती तृष्णाआस्यपाकहृद्नेत्रशिरःकर्णआमयी च तत् .,"{""tokens"": [""न"", ""अद्यात्"", ""अ"", ""जीर्ण"", ""वमथु"", ""श्वास"", ""कास"", ""ज्वर"", ""अर्दिती"", ""तृष्णा"", ""आस्य"", ""पाक"", ""हृद्"", ""नेत्र"", ""शिरः"", ""कर्ण"", ""आमयी"", ""च"", ""तत्"", "".""], ""compounds"": ""1\tन\tन\t21\tCompNo\t_\tNo_rel\n2\tअद्यात्\tअद्यात्\t21\tCompNo\t_\tNo_rel\n3\tअ-\tअ-जीर्ण-वमथु-श्वास-कास-ज्वर-अर्दिती\t4\tComp7\t_\tनञ्-तत्पुरुषः\n4\tजीर्ण-\t--\t5\tComp7\t_\tइतरेतर-द्वन्द्वः\n5\tवमथु-\t--\t6\tComp7\t_\tइतरेतर-द्वन्द्वः\n6\tश्वास-\t--\t7\tComp7\t_\tइतरेतर-द्वन्द्वः\n7\tकास-\t--\t8\tComp7\t_\tइतरेतर-द्वन्द्वः\n8\tज्वर-\t--\t9\tComp7\t_\tइतरेतर-द्वन्द्वः\n9\tअर्दिती\t--\t21\tComp7\t_\tComp_root\n10\tतृष्णा-\tतृष्णा-आस्य-पाक-हृद्-नेत्र-शिरः-कर्ण-आमयी\t11\tComp8\t_\tइतरेतर-द्वन्द्वः\n11\tआस्य-\t--\t12\tComp8\t_\tषष्ठी-तत्पुरुषः\n12\tपाक-\t--\t13\tComp8\t_\tइतरेतर-द्वन्द्वः\n13\tहृद्-\t--\t14\tComp8\t_\tइतरेतर-द्वन्द्वः\n14\tनेत्र-\t--\t15\tComp8\t_\tइतरेतर-द्वन्द्वः\n15\tशिरः-\t--\t16\tComp8\t_\tइतरेतर-द्वन्द्वः\n16\tकर्ण-\t--\t17\tComp8\t_\tषष्ठी-तत्पुरुषः\n17\tआमयी\t--\t21\tComp8\t_\tComp_root\n18\tच\tच\t21\tCompNo\t_\tNo_rel\n19\tतत्\tतत्\t21\tCompNo\t_\tNo_rel\n20\t.\t.\t21\tCompNo\t_\tNo_rel\n21\tDUMMY\t_\t0\tCompNo\t_\troot""}"
सौवीरम् अञ्जनम् नित्यम् हितम् अक्ष्णोः ततः भजेत् .,"{""tokens"": [""सौवीरम्"", ""अञ्जनम्"", ""नित्यम्"", ""हितम्"", ""अक्ष्णोः"", ""ततः"", ""भजेत्"", "".""], ""compounds"": ""1\tसौवीरम्\tसौवीरम्\t9\tCompNo\t_\tNo_rel\n2\tअञ्जनम्\tअञ्जनम्\t9\tCompNo\t_\tNo_rel\n3\tनित्यम्\tनित्यम्\t9\tCompNo\t_\tNo_rel\n4\tहितम्\tहितम्\t9\tCompNo\t_\tNo_rel\n5\tअक्ष्णोः\tअक्ष्णोः\t9\tCompNo\t_\tNo_rel\n6\tततः\tततः\t9\tCompNo\t_\tNo_rel\n7\tभजेत्\tभजेत्\t9\tCompNo\t_\tNo_rel\n8\t.\t.\t9\tCompNo\t_\tNo_rel\n9\tDUMMY\t_\t0\tCompNo\t_\troot""}"
चक्षुः तेजोमयम् (भवति) तस्य विशेषात् श्लेष्मतः भयम् (भवति) योजयेत् सप्तरात्रे (सति) अस्मात् स्रावणअर्थम् रसअञ्जनम् .,"{""tokens"": [""चक्षुः"", ""तेजोमयम्"", ""(भवति)"", ""तस्य"", ""विशेषात्"", ""श्लेष्मतः"", ""भयम्"", ""(भवति)"", ""योजयेत्"", ""सप्त"", ""रात्रे"", ""(सति)"", ""अस्मात्"", ""स्रावण"", ""अर्थम्"", ""रस"", ""अञ्जनम्"", "".""], ""compounds"": ""1\tचक्षुः\tचक्षुः\t19\tCompNo\t_\tNo_rel\n2\tतेजोमयम्\tतेजोमयम्\t19\tCompNo\t_\tNo_rel\n3\t(भवति)\tभवति\t19\tCompNo\t_\tNo_rel\n4\tतस्य\tतस्य\t19\tCompNo\t_\tNo_rel\n5\tविशेषात्\tविशेषात्\t19\tCompNo\t_\tNo_rel\n6\tश्लेष्मतः\tश्लेष्मतः\t19\tCompNo\t_\tNo_rel\n7\tभयम्\tभयम्\t19\tCompNo\t_\tNo_rel\n8\t(भवति)\tभवति\t19\tCompNo\t_\tNo_rel\n9\tयोजयेत्\tयोजयेत्\t19\tCompNo\t_\tNo_rel\n10\tसप्त-\tसप्त-रात्रे\t11\tComp2\t_\tसमाहार-द्विगुः\n11\tरात्रे\t--\t19\tComp2\t_\tComp_root\n12\t(सति)\tसति\t19\tCompNo\t_\tNo_rel\n13\tअस्मात्\tअस्मात्\t19\tCompNo\t_\tNo_rel\n14\tस्रावण-\tस्रावण-अर्थम्\t15\tComp2\t_\tचतुर्थी-तत्पुरुषः\n15\tअर्थम्\t--\t19\tComp2\t_\tComp_root\n16\tरस-\tरस-अञ्जनम्\t17\tComp2\t_\tकर्मधारयः\n17\tअञ्जनम्\t--\t19\tComp2\t_\tComp_root\n18\t.\t.\t19\tCompNo\t_\tNo_rel\n19\tDUMMY\t_\t0\tCompNo\t_\troot""}"
ततः नावनगण्डूषधूमताम्बूलभाग् भवेत् .,"{""tokens"": [""ततः"", ""नावन"", ""गण्डूष"", ""धूम"", ""ताम्बूल"", ""भाग्"", ""भवेत्"", "".""], ""compounds"": ""1\tततः\tततः\t9\tCompNo\t_\tNo_rel\n2\tनावन-\tनावन-गण्डूष-धूम-ताम्बूल-भाग्\t3\tComp5\t_\tइतरेतर-द्वन्द्वः\n3\tगण्डूष-\t--\t4\tComp5\t_\tइतरेतर-द्वन्द्वः\n4\tधूम-\t--\t5\tComp5\t_\tइतरेतर-द्वन्द्वः\n5\tताम्बूल-\t--\t6\tComp5\t_\tबहुव्रीहिः\n6\tभाग्\t--\t9\tComp5\t_\tComp_root\n7\tभवेत्\tभवेत्\t9\tCompNo\t_\tNo_rel\n8\t.\t.\t9\tCompNo\t_\tNo_rel\n9\tDUMMY\t_\t0\tCompNo\t_\troot""}"
